apo_name,apo_chain,holo_name,holo_chain,pocket_id,pocket_rmsd,pocket_com,protein_id,ligand,ligand_atom_count,apo_pocket_missing_percentage,holo_loop_per
8GSZ,A,4f5y,A,1,"(11.912877082824707, 432, 0, 11.912877082824707, 432, 116.5, 65)","[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,C2E,46,0.0,27.64505119453925
8GSZ,A,4loi,B,1,"(11.726530075073242, 447, 0, 11.726530075073242, 447, 116.5, 67)","[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,1YC,45,0.0,14.239482200647249
8GSZ,A,4loh,A,1,"(11.414467811584473, 570, 0, 11.414467811584473, 570, 268.0, 64)","[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,1SY,45,0.0,15.030674846625766
8GSZ,A,4f5y,A,1,11.912877082824707,"[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,C2E,46,0.0,27.64505119453925
8GSZ,A,4loi,B,1,11.726530075073242,"[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,1YC,45,0.0,14.239482200647249
8GSZ,A,4loh,A,1,11.414467811584473,"[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,1SY,45,0.0,15.030674846625766
8GSZ,A,4f5y,A,1,11.912877082824707,"[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,C2E,46,0.0,27.64505119453925
8GSZ,A,4loi,B,1,11.726530075073242,"[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,1YC,45,0.0,14.239482200647249
8GSZ,A,4loh,A,1,11.414467811584473,"[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,1SY,45,0.0,15.030674846625766
8GSZ,A,4f5y,A,1,11.912877082824707,"[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,C2E,46,0.0,27.64505119453925
8GSZ,A,4loi,B,1,11.726530075073242,"[-5.734404585568177, 2.5798282578525358, -16.67950583499065]",5,1YC,45,0.0,14.239482200647249
