pdb_id,apo_pdb_id,apo_chain
6ugp,1CAN,A
6ugp,3MNJ,A
6ugp,1ZSA,A
6ugp,1CAK,A
6ugp,1UGD,A
6ugp,1CNH,A
6ugp,1UGF,A
6ugp,3MNH,A
6ugp,1CAJ,A
6ugp,1UGB,A
6ugp,3DVD,A
6ugp,1CAL,A
6ugp,2NXR,A
6ugp,1CAI,A
6ugp,1CNJ,A
6ugp,3DVC,A
6ugp,1G3Z,A
6ugp,3TVN,X
6ugp,1CNI,A
6ugp,1CNG,A
6ugp,1H9N,A
6ugp,5ZXW,A
6ugp,3MNI,A
6ugp,3MNK,A
6ugp,1TH9,A
6ugp,3RG4,A
6ugp,1TG3,A
6ugp,1UGE,A
6ugp,4YGJ,A
6ugp,3DV7,A
6ugp,1BIC,A
6ugp,4QK1,A
6ugp,3RLD,A
6ugp,1CNK,A
6ugp,1UGC,A
6ugp,1UGA,A
6ugp,3DVB,A
6ugp,2NWO,A
6ugp,2NWY,A
6ugp,1HEA,A
6ugp,1MUA,A
6ugp,1CA3,A
6ugp,1LZV,A
6ugp,1HEC,A
6ugp,2FNK,A
6ugp,12CA,A
6ugp,3RG3,A
6ugp,3RGE,A
6ugp,5CA2,A
6ugp,1HED,A
6ugp,1CVA,A
6ugp,1DCA,A
6ugp,1YO0,A
6ugp,6CA2,A
6ugp,9CA2,A
6ugp,1H9Q,A
6ugp,1LG5,A
6ugp,1CCT,A
6ugp,1HEB,A
6ugp,3M1Q,A
6ugp,1CCS,A
6ugp,1CVF,A
6ugp,1CCU,A
6ugp,7CA2,A
6ugp,1CVC,A
6ugp,1CVE,A
6ugp,8CA2,A
6ugp,1CNB,A
6ugp,1HVA,A
6ugp,1CVD,A
6ugp,1CVH,A
6ugp,1FQL,A
6ugp,2FNM,A
3b26,6GP4,A
3b26,2K5B,A
3b26,8B7I,A
3b26,5J80,A
6g3a,2WB8,A
4f5y,4F5W,A
1ppi,1KXQ,A
5c28,2OUV,A
1fkf,5GKY,B
1fkf,2PPP,A
1fkf,2PPO,A
1fkf,1EYM,A
5cxa,1OS2,A
5cxa,3BA0,A
5cxa,2K9C,A
3eax,2F6F,A
3eax,7KEN,A
3eax,4QBE,A
3eax,6NTP,A
3eax,3SME,A
3eax,7L0C,A
3eax,1I57,A
3eax,6CWV,A
3eax,6CWU,A
3eax,1PA1,A
3eax,8U1E,A
3eax,4BJO,A
3eax,3ZV2,A
3eax,5KA4,A
3eax,3A5K,A
3eax,8EXK,A
1hdq,1PYT,B
1hdq,1ARL,A
3ibi,1CAN,A
3ibi,1UGF,A
3ibi,1CAK,A
3ibi,1UGD,A
3ibi,2NXR,A
3ibi,1CAL,A
3ibi,1UGE,A
3ibi,3DVC,A
3ibi,3TVN,X
3ibi,3MNH,A
3ibi,1CAJ,A
3ibi,3DVD,A
3ibi,3MNJ,A
3ibi,3MNI,A
3ibi,1CAI,A
3ibi,1G3Z,A
3ibi,1UGB,A
3ibi,1UGA,A
3ibi,3MNK,A
3ibi,1TH9,A
3ibi,1TG3,A
3ibi,4YGJ,A
3ibi,3DV7,A
3ibi,1BIC,A
3ibi,1UGC,A
3ibi,2NWO,A
3ibi,2NWY,A
3ibi,3DVB,A
3ibi,1ZSA,A
3ibi,2FNK,A
3ibi,1CNH,A
3ibi,1CNG,A
3ibi,1H9N,A
3ibi,1HEA,A
3ibi,1MUA,A
3ibi,5ZXW,A
3ibi,3RG4,A
3ibi,1CNJ,A
3ibi,1CNI,A
3ibi,1CA3,A
3ibi,4QK1,A
3ibi,3RLD,A
3ibi,1CNK,A
3ibi,1YO0,A
3ibi,1HEC,A
3ibi,5CA2,A
3ibi,12CA,A
3ibi,1CVA,A
3ibi,1DCA,A
3ibi,1HED,A
3ibi,1CCT,A
3ibi,6CA2,A
3ibi,9CA2,A
3ibi,1H9Q,A
3ibi,1LZV,A
3ibi,1CCS,A
3ibi,1HEB,A
3ibi,3RG3,A
3ibi,3RGE,A
3ibi,2FNM,A
3ibi,1CCU,A
3ibi,7CA2,A
3ibi,8CA2,A
3ibi,1CNB,A
3ibi,1HVA,A
3ibi,1CVD,A
3ibi,1CVH,A
3ibi,1CVF,A
3ibi,1CVC,A
3ibi,1CVE,A
3ibi,1LG5,A
3ibi,3M1Q,A
3ibi,1FQL,A
6p88,3EH0,A
1gx8,3PH5,A
1gx8,6NKQ,A
1gx8,1BEB,A
2qbs,4QBE,A
2qbs,7KEN,A
2qbs,7L0C,A
2qbs,2F6F,A
2qbs,1PA1,A
2qbs,8EXK,A
2qbs,1I57,A
2qbs,6NTP,A
2qbs,3SME,A
2qbs,6CWU,A
2qbs,6CWV,A
2qbs,8U1E,A
2qbs,4BJO,A
2qbs,5KA4,A
2qbs,3ZV2,A
2qbs,3A5K,A
2xxx,7KS0,B
1yc4,2K5B,A
